round,train_logloss,val_pr_auc,time_s
409,0.2266,0.7082,0.1
410,0.2263,0.7084,0.1
411,0.2262,0.7084,0.1
412,0.2259,0.7086,0.1
413,0.2256,0.7089,0.1
414,0.2254,0.7091,0.1
415,0.2252,0.7093,0.1
416,0.225,0.7095,0.1
417,0.2248,0.7099,0.1
418,0.2246,0.7101,0.1
419,0.2244,0.7104,0.1
420,0.2243,0.7104,0.1
421,0.2241,0.7107,0.1
422,0.2239,0.7111,0.1
423,0.2238,0.7112,0.1
424,0.2235,0.7115,0.1
425,0.2233,0.7119,0.1
426,0.2231,0.7121,0.1
427,0.223,0.7122,0.1
428,0.2228,0.7122,0.1
429,0.2227,0.7123,0.1
430,0.2225,0.7128,0.1
431,0.2223,0.713,0.1
432,0.2221,0.7132,0.1
433,0.2218,0.7135,0.1
434,0.2216,0.7134,0.1
435,0.2213,0.7138,0.1
436,0.2211,0.7141,0.1
437,0.221,0.7145,0.1
438,0.2206,0.7149,0.1
439,0.2203,0.7153,0.1
440,0.22,0.7157,0.1
441,0.2197,0.716,0.1
442,0.2195,0.716,0.1
443,0.2192,0.7161,0.1
444,0.2188,0.7165,0.1
445,0.2187,0.7166,0.1
446,0.2185,0.7169,0.1
447,0.2181,0.7172,0.1
448,0.2178,0.7172,0.1
449,0.2177,0.7177,0.1
450,0.2175,0.7178,0.1
451,0.2172,0.718,0.1
452,0.2172,0.7181,0.1
453,0.217,0.7186,0.1
454,0.2168,0.7192,0.1
455,0.2166,0.7191,0.1
456,0.2164,0.7194,0.1
457,0.2162,0.7195,0.1
458,0.2159,0.7196,0.1
459,0.2157,0.72,0.1
460,0.2155,0.7202,0.1
461,0.2153,0.7205,0.1
462,0.2152,0.7206,0.1
463,0.215,0.7208,0.1
464,0.2148,0.7211,0.1
465,0.2146,0.721,0.1
466,0.2144,0.7211,0.1
467,0.2143,0.7214,0.1
468,0.2139,0.7217,0.1
469,0.2138,0.7217,0.1
470,0.2136,0.7218,0.1
471,0.2136,0.7221,0.1
472,0.2133,0.7224,0.1
473,0.2131,0.7225,0.1
474,0.2131,0.7227,0.1
475,0.2128,0.7227,0.1
476,0.2127,0.7229,0.1
477,0.2127,0.7231,0.1
478,0.2123,0.7233,0.1
479,0.2121,0.7236,0.1
480,0.212,0.7238,0.1
481,0.2117,0.724,0.1
482,0.2114,0.7242,0.1
483,0.2112,0.7241,0.1
484,0.2111,0.7243,0.1
485,0.2108,0.7245,0.1
486,0.2107,0.7249,0.1
487,0.2106,0.7249,0.1
488,0.2105,0.7249,0.1
489,0.2103,0.7253,0.1
490,0.2101,0.7255,0.1
491,0.2098,0.726,0.1
492,0.2095,0.7262,0.1
493,0.2094,0.7265,0.1
494,0.2091,0.7268,0.1
495,0.209,0.7268,0.1
496,0.2087,0.7273,0.1
497,0.2086,0.7274,0.1
498,0.2083,0.7275,0.1
499,0.208,0.7278,0.1
500,0.2078,0.7282,0.1
501,0.2076,0.7284,0.1
