number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_dropout,params_gamma,params_hidden_dim,params_la_alpha,params_la_k,params_lr,params_sched_factor,params_sched_patience,params_weight_decay,state
10,,2026-04-09 02:11:23.841570,2026-04-09 02:11:52.776876,0 days 00:00:28.935306,0.7843072193880668,1024,0.48801618990319595,0.6261028799891113,128,0.7299795486630184,5,0.0038425822917037373,0.6482520093115419,5,0.007553503645583194,FAIL
11,,2026-04-09 02:11:52.779033,2026-04-09 02:11:54.105625,0 days 00:00:01.326592,0.7640996754641152,1024,0.479545562310499,0.5597726501080925,128,0.7275145077153735,5,0.003721817372053651,0.6545211179238095,5,0.009285362053310939,FAIL
12,,2026-04-09 02:11:54.106703,2026-04-09 02:12:22.307355,0 days 00:00:28.200652,0.7702535051682834,1024,0.49974497545662044,0.6149727266474443,128,0.7267634820822026,5,0.0035313865052618233,0.6792959907905215,5,0.008428178197719032,FAIL
13,,2026-04-09 02:12:22.308535,2026-04-09 02:12:22.969314,0 days 00:00:00.660779,0.7609874559008502,1024,0.48957971364819,0.8829394869766256,128,0.717198196258128,5,0.004836258624963557,0.6992813887590824,5,0.009674803505515365,FAIL
14,,2026-04-09 02:12:22.970410,2026-04-09 02:12:29.478821,0 days 00:00:06.508411,0.7624941921295558,1024,0.49947339256998385,0.5213305384389031,128,0.7218704901484571,5,0.0047363766497827055,0.6917702367090979,5,0.009752148932165156,FAIL
15,,2026-04-09 02:12:29.479886,2026-04-09 02:12:49.126112,0 days 00:00:19.646226,0.7741767352666524,1024,0.4924308761608712,0.6066293517762449,128,0.7204635403380202,5,0.004707665857953549,0.6600859347132019,5,0.008290600699824666,FAIL
16,,2026-04-09 02:12:49.127166,2026-04-09 02:12:49.908898,0 days 00:00:00.781732,0.7642711937172586,1024,0.4791402246238696,0.5538702715398638,128,0.6982393444710525,5,0.003919405464590394,0.6860930071516779,5,0.009846187750661211,FAIL
17,,2026-04-09 02:12:49.909994,2026-04-09 02:13:14.089259,0 days 00:00:24.179265,0.7708538860204946,1024,0.48703016077738503,0.6160832963396734,128,0.7123161127609905,5,0.004778205281348532,0.6965108784574399,5,0.006951011408043272,FAIL
18,,2026-04-09 02:13:14.090868,2026-04-09 02:13:38.823734,0 days 00:00:24.732866,0.7768547057040319,1024,0.48857063853491123,0.5995510295755302,128,0.6941468837236077,5,0.004422644001434328,0.6614035607563236,5,0.006592318760277418,FAIL
19,,2026-04-09 02:13:38.824870,2026-04-09 02:13:56.704434,0 days 00:00:17.879564,0.756370805295757,1024,0.49629941507979686,0.6518624943662331,128,0.7253085663206511,5,0.0044263666531377055,0.6843508467731599,5,0.0037992583168395644,FAIL
20,,2026-04-09 02:13:56.705479,2026-04-09 02:14:19.444643,0 days 00:00:22.739164,0.7650434107378156,1024,0.49310737766692997,0.5824048914073012,128,0.7136371834459099,5,0.004798052477020099,0.6383363207979527,5,0.00871166542062661,FAIL
21,,2026-04-09 02:14:19.445730,2026-04-09 02:14:44.235966,0 days 00:00:24.790236,0.7712818059975247,1024,0.4939035532172299,0.60501235219677,128,0.6873045609298706,5,0.004908313053658323,0.6871013003751493,5,0.009362153937310606,FAIL
22,,2026-04-09 02:14:44.236993,2026-04-09 02:15:06.777947,0 days 00:00:22.540954,0.7673217628076153,1024,0.49980839366227053,0.5944676750496503,128,0.7273500200820239,5,0.004866023622773991,0.6700505870963768,5,0.007548696916252764,FAIL
23,,2026-04-09 02:15:06.779049,2026-04-09 02:15:22.475791,0 days 00:00:15.696742,0.7656292473422284,1024,0.49059872995572285,0.6200890416810112,128,0.7261100101521922,5,0.0045118388980835145,0.6774369403399642,5,0.006754040909034387,FAIL
24,,2026-04-09 02:15:22.476855,2026-04-09 02:15:22.905107,0 days 00:00:00.428252,0.7667946114266797,1024,0.4940830990281093,0.5066404516688028,128,0.7280113167224088,5,0.004569423638806433,0.6499992505835823,5,0.003727868587314606,FAIL
25,,2026-04-09 02:15:22.906151,2026-04-09 02:15:32.746969,0 days 00:00:09.840818,0.7685363618392134,1024,0.4923195575323764,0.56218563227638,128,0.7291394968370228,5,0.003619636601508051,0.6896335841054915,5,0.008945823973464747,FAIL
26,,2026-04-09 02:15:32.748032,2026-04-09 02:15:49.173275,0 days 00:00:16.425243,0.7692531679029063,1024,0.4678381778758314,0.5150449032006061,128,0.7188368741391531,5,0.004048632258035059,0.6968753681613671,5,0.003262766318454477,FAIL
27,,2026-04-09 02:15:49.174468,2026-04-09 02:16:03.830687,0 days 00:00:14.656219,0.7669050656205482,1024,0.49939867501976826,0.5275201683869257,128,0.7546908915789985,5,0.004172852459281787,0.6993134344664013,5,0.008695276753956621,FAIL
28,,2026-04-09 02:16:03.831816,2026-04-09 02:16:18.377799,0 days 00:00:14.545983,0.7697140652393972,1024,0.4997847561815103,0.5150870722911867,128,0.6945603604246757,5,0.003949959163248648,0.6539466513200292,5,0.005340359171267042,FAIL
29,,2026-04-09 02:16:18.378817,2026-04-09 02:16:42.413656,0 days 00:00:24.034839,0.7592044620465881,1024,0.4972954745546019,0.74868917012201,128,0.7165336280884662,5,0.003873763227646012,0.6883274032305536,5,0.006288141198969727,FAIL
