round,train_logloss,val_pr_auc,time_s
268,0.2615,0.6633,0.1
269,0.2612,0.6637,0.1
270,0.261,0.6639,0.1
271,0.2609,0.664,0.1
272,0.2607,0.6643,0.1
273,0.2603,0.6649,0.1
274,0.2601,0.665,0.1
275,0.26,0.665,0.1
276,0.2597,0.6653,0.1
277,0.2594,0.6658,0.1
278,0.2591,0.666,0.1
279,0.2589,0.6664,0.1
280,0.2588,0.6667,0.1
281,0.2585,0.667,0.1
282,0.258,0.6672,0.1
283,0.2576,0.6679,0.1
284,0.2574,0.6681,0.1
285,0.257,0.6685,0.1
286,0.2567,0.6686,0.1
287,0.2566,0.6685,0.1
288,0.2564,0.6686,0.1
289,0.2561,0.6688,0.1
290,0.2561,0.6688,0.1
291,0.256,0.669,0.1
292,0.2557,0.6691,0.1
293,0.2557,0.6691,0.1
294,0.2555,0.6694,0.1
295,0.2552,0.6695,0.1
296,0.2548,0.6697,0.1
297,0.2545,0.6702,0.1
298,0.2544,0.6705,0.1
299,0.2542,0.6706,0.1
300,0.2539,0.6709,0.1
301,0.2536,0.671,0.1
302,0.2533,0.6713,0.1
303,0.2532,0.6713,0.1
304,0.253,0.6714,0.1
305,0.2526,0.6719,0.1
306,0.2523,0.6725,0.1
307,0.252,0.6729,0.1
308,0.2518,0.6731,0.1
309,0.2517,0.673,0.1
310,0.2515,0.6732,0.1
311,0.2514,0.6733,0.1
312,0.2512,0.6737,0.1
313,0.2508,0.6742,0.1
314,0.2504,0.6742,0.1
315,0.2501,0.6744,0.1
316,0.2499,0.6748,0.1
317,0.2495,0.6752,0.1
318,0.2492,0.6754,0.1
319,0.2489,0.6757,0.1
320,0.2486,0.676,0.1
321,0.2484,0.6764,0.1
322,0.2481,0.6767,0.1
323,0.2478,0.6769,0.1
324,0.2476,0.6772,0.1
325,0.2474,0.6776,0.1
326,0.2472,0.6781,0.1
327,0.2468,0.6785,0.1
328,0.2467,0.6787,0.1
329,0.2463,0.6792,0.1
330,0.2462,0.6794,0.1
331,0.246,0.6798,0.1
332,0.2457,0.68,0.1
333,0.2453,0.6801,0.1
334,0.2452,0.6804,0.1
335,0.2451,0.6807,0.1
336,0.2449,0.681,0.1
337,0.2446,0.6814,0.1
338,0.2442,0.6817,0.1
339,0.2439,0.6822,0.1
340,0.2436,0.6824,0.1
341,0.2433,0.6827,0.1
342,0.2432,0.6827,0.1
343,0.2429,0.6831,0.1
344,0.2427,0.6834,0.1
345,0.2425,0.6836,0.1
346,0.2422,0.6837,0.1
347,0.242,0.6839,0.1
348,0.2417,0.684,0.1
349,0.2413,0.6842,0.1
350,0.241,0.6844,0.1
351,0.2408,0.6847,0.1
352,0.2406,0.685,0.1
353,0.2401,0.6854,0.1
354,0.2399,0.6857,0.1
355,0.2398,0.6859,0.1
356,0.2396,0.686,0.1
357,0.2394,0.6862,0.1
358,0.2392,0.6867,0.1
359,0.239,0.6871,0.1
360,0.2387,0.6875,0.1
361,0.2385,0.6879,0.1
362,0.2382,0.6881,0.1
363,0.2379,0.6885,0.1
364,0.2375,0.6889,0.1
365,0.2374,0.6892,0.1
366,0.2371,0.6894,0.1
